dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
myelevators,200,1,0.1392,-4.5569,-39544.75,1028.0,1113,1
myelevators,200,1,0.1396,-4.5732,-39739.36,802.6,1114,1
myelevators,200,1,0.1391,-4.5776,-39764.95,851.6,1115,1
myelevators,200,4,0.3126,-4.4955,-39314.79,1132.2,1111,0
myelevators,200,4,0.3168,-4.4727,-39017.03,1325.4,1112,0
myelevators,200,4,0.4160,-4.4547,-39187.07,1121.3,1113,0
myelevators,200,4,0.1640,-4.4950,-38771.88,778.9,1114,1
myelevators,300,1,0.1344,-4.6299,-40311.32,1433.6,1111,1
myelevators,300,1,0.1336,-4.6425,-40459.70,1492.2,1112,1
myelevators,300,1,0.1365,-4.6508,-40675.37,1617.8,1113,1
myelevators,300,1,0.1352,-4.6284,-40309.27,1264.6,1114,1
myelevators,300,1,0.1355,-4.6521,-40634.21,936.4,1115,1
myelevators,300,4,0.5529,-4.4343,-39478.91,1852.8,1111,0
myelevators,300,4,0.4383,-4.5004,-39825.34,2013.4,1112,0
myelevators,300,4,0.6075,-4.4656,-40120.45,2056.6,1113,0
myelevators,300,4,0.6638,-4.4275,-39972.51,1289.5,1114,0
myelevators,400,1,0.1335,-4.6639,-40754.41,1949.9,1111,1
myelevators,400,1,0.1332,-4.6805,-41013.75,2134.6,1112,1
myelevators,400,1,0.1318,-4.6638,-40718.11,2213.1,1113,1
myelevators,400,1,0.1333,-4.6840,-41070.71,1675.8,1114,1
myelevators,400,4,0.3491,-4.5329,-39766.72,2595.3,1111,0
myelevators,400,4,0.4495,-4.5113,-39897.99,2836.3,1112,0
myelevators,400,4,0.5893,-4.4635,-40013.00,2533.1,1113,0
myelevators,400,4,0.4757,-4.5077,-40094.36,1576.1,1114,0
myelevators,500,1,0.1322,-4.6862,-41043.91,2544.0,1111,1
myelevators,500,1,0.1307,-4.6711,-40781.74,2803.5,1112,1
myelevators,500,1,0.1320,-4.6804,-40975.42,2816.8,1113,1
myelevators,500,1,0.1313,-4.6755,-40863.92,2280.2,1114,1
myelevators,500,4,0.2637,-4.5984,-40516.13,3431.7,1111,0
myelevators,500,4,0.4283,-4.5260,-40236.44,3536.5,1112,0
myelevators,500,4,0.5957,-4.4547,-39878.87,3602.7,1113,0
myelevators,500,4,0.4974,-4.4803,-39997.66,3120.0,1114,0
pol,50,1,0.0567,3.0868,30772.02,388.6,1111,1
pol,50,1,0.0338,3.0682,30890.00,478.3,1112,1
pol,50,1,0.0369,3.0928,31078.25,444.6,1113,1
pol,50,1,0.0572,3.0680,30714.30,454.2,1114,1
pol,50,1,0.0776,3.1325,30815.53,445.4,1115,1
pol,50,4,0.0324,2.9903,29648.44,156.7,1111,1
pol,50,4,0.0416,2.7167,27152.18,302.7,1112,1
pol,50,4,0.0514,2.7841,26427.53,238.6,1113,1
pol,50,4,0.0492,2.9515,29012.43,155.0,1114,1
pol,100,1,0.0304,2.8312,28689.88,726.0,1111,1
pol,100,1,0.0306,2.8214,28593.53,838.6,1112,1
pol,100,1,0.0300,2.8953,29233.75,807.1,1113,1
pol,100,1,0.0377,2.8176,28412.37,621.8,1114,1
pol,100,1,0.0308,2.8147,28520.95,569.5,1115,1
pol,100,4,0.0332,2.4761,25232.37,908.3,1111,1
pol,100,4,0.0308,2.4650,24716.22,1037.6,1112,1
pol,100,4,0.0412,2.7090,26961.37,435.5,1113,1
pol,100,4,0.0278,2.8127,28419.14,636.7,1114,1
pol,200,1,0.0277,2.6062,26552.32,1456.3,1111,1
pol,200,1,0.0301,2.6362,26602.15,1671.0,1112,1
pol,200,1,0.0312,2.5810,26220.90,1570.0,1113,1
pol,200,1,0.0275,2.6321,26755.53,1244.1,1114,1
pol,200,1,0.0298,2.6066,26522.92,1431.0,1115,1
pol,200,4,0.0204,2.4076,24735.15,1790.1,1111,1
pol,200,4,0.0198,2.3392,23848.45,1001.9,1112,1
pol,200,4,0.0194,2.4694,25607.23,876.8,1113,1
pol,200,4,0.0223,2.6340,26631.85,1100.8,1114,1
pol,300,1,0.0284,2.4277,24776.07,2197.2,1111,1
pol,300,1,0.0238,2.4626,25104.07,2341.4,1112,1
pol,300,1,0.0224,2.5592,26189.80,2477.8,1113,1
pol,300,1,0.0251,2.4941,25514.18,1924.9,1114,1
pol,300,1,0.0233,2.5460,26157.69,1423.9,1115,1
pol,300,4,0.0214,2.5374,25976.38,2803.9,1111,1
pol,300,4,0.0243,2.3798,24481.66,3152.4,1112,1
pol,300,4,0.0192,2.5065,24503.27,1304.3,1113,1
pol,300,4,0.0225,2.4365,24877.82,2046.6,1114,1
pol,400,1,0.0227,2.4883,25446.18,3020.2,1111,1
pol,400,1,0.0260,2.4112,24640.78,3239.5,1112,1
pol,400,1,0.0236,2.4119,24703.55,3286.6,1113,1
pol,400,1,0.0242,2.4137,24659.30,2489.1,1114,1
pol,400,4,0.0161,2.8705,29485.86,380.6,1111,1
pol,400,4,0.0196,2.5524,26534.93,1598.2,1112,1
pol,400,4,0.0177,2.4274,25142.40,1233.4,1113,1
pol,400,4,0.0159,2.3604,23620.17,442.0,1114,1
pol,500,1,0.0252,2.4196,24751.88,3829.9,1111,1
pol,500,1,0.0256,2.3463,23970.47,4206.4,1112,1
pol,500,1,0.0224,2.3652,24212.67,4249.6,1113,1
pol,500,1,0.0242,2.3375,23930.29,3310.2,1114,1
pol,500,4,0.0186,2.4511,25388.69,4971.1,1111,1
pol,500,4,0.0225,2.2496,23042.45,2576.8,1112,1
pol,500,4,0.0150,2.1949,22964.41,5286.2,1113,1
pol,500,4,0.0149,2.3980,25062.45,2846.3,1114,1
